Date,Actual Conditions,Predict Conditions
2015-12-01 01:00:00,Partially cloudy,Partially cloudy
2015-12-01 02:00:00,Partially cloudy,Partially cloudy
2015-12-01 03:00:00,Partially cloudy,Partially cloudy
2015-12-01 04:00:00,Partially cloudy,Partially cloudy
2015-12-01 05:00:00,Partially cloudy,Partially cloudy
2015-12-01 07:00:00,Partially cloudy,Partially cloudy
2015-12-01 08:00:00,Partially cloudy,Partially cloudy
2015-12-01 10:00:00,Partially cloudy,Partially cloudy
2015-12-01 13:00:00,Partially cloudy,Partially cloudy
2015-12-01 14:00:00,Partially cloudy,Partially cloudy
2015-12-01 15:00:00,Partially cloudy,Partially cloudy
2015-12-01 16:00:00,Partially cloudy,Partially cloudy
2015-12-01 17:00:00,Partially cloudy,Partially cloudy
2015-12-01 18:00:00,Partially cloudy,Partially cloudy
2015-12-01 19:00:00,Partially cloudy,Partially cloudy
2015-12-01 20:00:00,Partially cloudy,Partially cloudy
2015-12-01 21:00:00,Partially cloudy,Partially cloudy
2015-12-01 22:00:00,"Rain, Overcast",Partially cloudy
2015-12-01 23:00:00,Partially cloudy,Partially cloudy
2015-12-02 01:00:00,Partially cloudy,Partially cloudy
2015-12-02 02:00:00,Partially cloudy,Partially cloudy
2015-12-02 07:00:00,Partially cloudy,Partially cloudy
2015-12-02 09:00:00,Partially cloudy,Partially cloudy
2015-12-02 10:00:00,Partially cloudy,Partially cloudy
2015-12-02 11:00:00,Partially cloudy,Partially cloudy
2015-12-02 12:00:00,Partially cloudy,Partially cloudy
2015-12-02 13:00:00,Partially cloudy,Partially cloudy
2015-12-02 14:00:00,Partially cloudy,Partially cloudy
2015-12-02 15:00:00,Partially cloudy,Partially cloudy
2015-12-02 16:00:00,Partially cloudy,Partially cloudy
2015-12-02 17:00:00,Partially cloudy,Partially cloudy
2015-12-02 18:00:00,Partially cloudy,Partially cloudy
2015-12-02 19:00:00,Partially cloudy,Partially cloudy
2015-12-02 20:00:00,Partially cloudy,Partially cloudy
2015-12-02 21:00:00,Partially cloudy,Partially cloudy
2015-12-02 22:00:00,Partially cloudy,Partially cloudy
2015-12-02 23:00:00,Partially cloudy,Partially cloudy
2015-12-03 00:00:00,Partially cloudy,Partially cloudy
2015-12-03 01:00:00,Partially cloudy,Partially cloudy
2015-12-03 02:00:00,Partially cloudy,Partially cloudy
2015-12-03 06:00:00,Partially cloudy,Partially cloudy
2015-12-03 07:00:00,Partially cloudy,Partially cloudy
2015-12-03 08:00:00,Partially cloudy,Partially cloudy
