Date,Conditions
2011-12-01 01:00:00,Partially cloudy
2011-12-01 04:00:00,Partially cloudy
2011-12-01 07:00:00,Partially cloudy
2011-12-01 09:00:00,Partially cloudy
2011-12-01 10:00:00,Partially cloudy
2011-12-01 11:00:00,Partially cloudy
2011-12-01 12:00:00,Partially cloudy
2011-12-01 13:00:00,Partially cloudy
2011-12-01 14:00:00,Partially cloudy
2011-12-01 15:00:00,Partially cloudy
2011-12-01 16:00:00,Partially cloudy
2011-12-01 18:00:00,Partially cloudy
2011-12-01 19:00:00,Partially cloudy
2011-12-01 21:00:00,Partially cloudy
2011-12-01 22:00:00,Partially cloudy
2011-12-01 23:00:00,Partially cloudy
2011-12-02 01:00:00,Partially cloudy
2011-12-02 02:00:00,Partially cloudy
2011-12-02 07:00:00,Clear
2011-12-02 08:00:00,Partially cloudy
2011-12-02 10:00:00,Partially cloudy
2011-12-02 11:00:00,Partially cloudy
2011-12-02 12:00:00,Partially cloudy
2011-12-02 13:00:00,Partially cloudy
2011-12-02 14:00:00,Partially cloudy
2011-12-02 15:00:00,Partially cloudy
2011-12-02 16:00:00,Partially cloudy
2011-12-02 17:00:00,Partially cloudy
2011-12-02 18:00:00,Partially cloudy
2011-12-03 07:00:00,Partially cloudy
2011-12-03 08:00:00,Clear
2011-12-03 10:00:00,Partially cloudy
2011-12-03 11:00:00,Partially cloudy
2011-12-03 12:00:00,Partially cloudy
2011-12-03 13:00:00,Partially cloudy
2011-12-03 14:00:00,Overcast
2011-12-03 15:00:00,Partially cloudy
2011-12-03 16:00:00,"Rain, Partially cloudy"
2011-12-04 08:00:00,Partially cloudy
2011-12-04 09:00:00,Partially cloudy
2011-12-04 10:00:00,Overcast
2011-12-04 11:00:00,Partially cloudy
2011-12-04 12:00:00,Partially cloudy
2011-12-04 13:00:00,Overcast
2011-12-04 14:00:00,Partially cloudy
2011-12-04 15:00:00,Partially cloudy
2011-12-04 16:00:00,Partially cloudy
2011-12-04 17:00:00,Partially cloudy
2011-12-04 19:00:00,Partially cloudy
2011-12-04 23:00:00,Partially cloudy
2011-12-05 08:00:00,Partially cloudy
2011-12-05 09:00:00,Partially cloudy
2011-12-05 10:00:00,Partially cloudy
2011-12-05 11:00:00,Partially cloudy
2011-12-05 12:00:00,Partially cloudy
2011-12-05 13:00:00,Partially cloudy
2011-12-05 14:00:00,Partially cloudy
2011-12-05 15:00:00,Partially cloudy
2011-12-05 16:00:00,Partially cloudy
2011-12-05 17:00:00,Partially cloudy
2011-12-06 09:00:00,Partially cloudy
2011-12-06 11:00:00,Partially cloudy
2011-12-06 12:00:00,Partially cloudy
2011-12-07 09:00:00,Partially cloudy
2011-12-07 10:00:00,Partially cloudy
2011-12-07 12:00:00,Partially cloudy
2011-12-07 13:00:00,Partially cloudy
2011-12-07 14:00:00,Partially cloudy
2011-12-07 15:00:00,Partially cloudy
2011-12-07 16:00:00,Partially cloudy
2011-12-07 17:00:00,Partially cloudy
2011-12-08 08:00:00,Partially cloudy
2011-12-08 09:00:00,Partially cloudy
2011-12-08 10:00:00,Partially cloudy
2011-12-08 12:00:00,Partially cloudy
2011-12-08 13:00:00,Partially cloudy
2011-12-08 14:00:00,Partially cloudy
2011-12-08 15:00:00,Partially cloudy
2011-12-08 16:00:00,Partially cloudy
2011-12-08 17:00:00,Partially cloudy
2011-12-08 19:00:00,Partially cloudy
2011-12-08 20:00:00,Clear
2011-12-08 21:00:00,Partially cloudy
2011-12-08 22:00:00,Partially cloudy
2011-12-08 23:00:00,Clear
2011-12-09 00:00:00,Clear
2011-12-09 09:00:00,Partially cloudy
2011-12-09 12:00:00,Partially cloudy
2011-12-09 13:00:00,Partially cloudy
2011-12-09 14:00:00,Partially cloudy
2011-12-09 15:00:00,Partially cloudy
2011-12-09 16:00:00,Partially cloudy
2011-12-09 17:00:00,Partially cloudy
2011-12-09 19:00:00,Partially cloudy
2011-12-09 20:00:00,Partially cloudy
2011-12-09 22:00:00,Partially cloudy
2011-12-09 23:00:00,Partially cloudy
2011-12-10 09:00:00,Partially cloudy
2011-12-10 10:00:00,Partially cloudy
2011-12-10 11:00:00,Partially cloudy
2011-12-10 12:00:00,Partially cloudy
2011-12-10 13:00:00,Partially cloudy
2011-12-10 14:00:00,Partially cloudy
2011-12-10 15:00:00,Partially cloudy
2011-12-10 16:00:00,Partially cloudy
2011-12-11 08:00:00,Partially cloudy
2011-12-11 09:00:00,Partially cloudy
2011-12-11 10:00:00,Partially cloudy
2011-12-11 11:00:00,Partially cloudy
2011-12-11 12:00:00,Partially cloudy
2011-12-11 13:00:00,Partially cloudy
2011-12-11 14:00:00,Partially cloudy
2011-12-11 15:00:00,Partially cloudy
2011-12-11 16:00:00,Partially cloudy
2011-12-11 17:00:00,Partially cloudy
2011-12-11 18:00:00,Partially cloudy
2011-12-11 19:00:00,Partially cloudy
2011-12-11 20:00:00,Partially cloudy
2011-12-11 21:00:00,Partially cloudy
2011-12-12 09:00:00,Partially cloudy
2011-12-12 10:00:00,Partially cloudy
2011-12-12 11:00:00,Partially cloudy
2011-12-12 12:00:00,Partially cloudy
2011-12-12 13:00:00,"Rain, Partially cloudy"
2011-12-12 15:00:00,Partially cloudy
2011-12-12 16:00:00,Partially cloudy
2011-12-12 17:00:00,Partially cloudy
2011-12-12 18:00:00,Partially cloudy
2011-12-13 08:00:00,Partially cloudy
2011-12-13 10:00:00,Partially cloudy
2011-12-13 11:00:00,Partially cloudy
2011-12-13 12:00:00,Partially cloudy
2011-12-13 13:00:00,Partially cloudy
2011-12-13 14:00:00,Partially cloudy
2011-12-13 15:00:00,Partially cloudy
2011-12-13 16:00:00,Partially cloudy
2011-12-13 17:00:00,Partially cloudy
2011-12-13 18:00:00,Partially cloudy
2011-12-13 19:00:00,Partially cloudy
2011-12-13 20:00:00,Partially cloudy
2011-12-13 21:00:00,Partially cloudy
2011-12-14 07:00:00,Partially cloudy
