Dates,Temperature,HeatIndex,Precipitation,WindSpeed,WindDirection,Visibility,CloudCover,RelativeHumidity
1/1/2012 9:00,28,31.9,0,7.6,310,3,27.5,78.92
1/1/2012 10:00,28,32.2,0.1,13,350,5,51.6,79.56
1/1/2012 11:00,29,32.7,0,13,320,6,27.5,70.11
1/1/2012 12:00,30,36.2,0,13,360,8,50,74.63
1/1/2012 13:00,30,36,0,11.2,290,10,66.6,74.32
1/1/2012 15:00,29.1,33.7,0,14.8,300,8,50,74.47
1/1/2012 16:00,29.1,33.9,0,11.2,340,10.3,66.6,74.78
1/1/2012 17:00,28,31.9,0,32.4,999,11,50,78.92
1/2/2012 10:00,29.4,33.8,0,14.8,290,10,90,71.45
1/2/2012 12:00,29,34.5,0,13,290,10.5,50,79.06
1/2/2012 13:00,31,36.5,4,20.5,297,10.3,53.3,66.64
1/2/2012 14:00,31,36.5,0,22.3,290,10.5,27.5,66.38
1/2/2012 16:00,30.1,34.1,0,25.9,280,10.5,45,65.21
1/2/2012 17:00,28,31.3,0,11.2,270,10.5,27.5,74.3
1/2/2012 19:00,26.7,29.6,0,9.4,250,8,35,86.2
1/2/2012 20:00,27,30.1,0,11.2,300,8,27.5,83.68
1/3/2012 8:00,28,31.9,0,13,270,7,27.5,78.92
1/3/2012 9:00,30,35.1,0,5.4,270,10.5,27.5,70.29
1/3/2012 10:00,30.3,35.7,0,5.4,270,9,53.3,69.38
1/3/2012 12:00,32,37.9,0,14.8,320,10.5,27.5,62.71
1/3/2012 13:00,32.1,37.6,0,16.6,290,10.3,45,60.89
1/3/2012 14:00,32,36.8,0,18.4,290,10.5,27.5,59.04
1/3/2012 16:00,29,33,0,18.4,163,9,63.3,70.83
1/3/2012 17:00,29,32.7,0,13,190,10.5,27.5,70.11
1/3/2012 18:00,28,31.3,0,7.6,320,10.5,27.5,74.3
1/3/2012 19:00,27.3,29.3,0,13.6,340,10.3,48.3,70.07
1/3/2012 20:00,27.1,28.9,0,9.4,310,11,30,69.74
1/3/2012 21:00,27,29.6,0,7.6,310,10.5,27.5,78.78
1/3/2012 22:00,26.8,29.4,0,10.3,290,10.5,55,81.17
1/4/2012 8:00,28.1,32.1,0,3.6,220,11,30,78.93
1/4/2012 9:00,28,31.9,0,0,0,10.5,27.5,78.92
1/4/2012 10:00,29.9,35.9,0,9.4,90,10.3,48.3,74.61
1/4/2012 11:00,30,35.1,0,13,70,10.5,27.5,70.29
1/4/2012 12:00,30,35.1,0,14.8,90,10.5,27.5,70.29
1/4/2012 13:00,30.4,35.7,0,13,80,10.3,63.3,68.3
1/4/2012 14:00,29,32.7,0,14.8,300,10.5,50,70.11
1/5/2012 9:00,29,33.6,0,7.6,250,10.5,27.5,74.47
1/5/2012 11:00,31,36.5,0,9.4,280,10.5,50,66.38
1/5/2012 12:00,32.1,38,0,11.2,280,11,50,62.73
1/5/2012 13:00,30.6,34.9,0,22.3,240,10.3,89.3,63.43
1/5/2012 16:00,27.1,30.4,0.1,5.4,90,10.3,92.7,84.02
1/6/2012 8:00,27,30.1,0,13,280,9,27.5,83.68
1/6/2012 9:00,29,33.6,0,14.8,280,10.5,27.5,74.47
1/6/2012 10:00,30,35.7,0,20.5,290,10.3,48.3,72.58
1/6/2012 11:00,30.1,35.2,0,24.1,290,11,30,70.3
1/6/2012 12:00,32,37.9,0,22.3,280,10.5,27.5,62.71
1/6/2012 13:00,31.3,37.3,0,20.5,280,10.3,63.3,65.92
1/6/2012 15:00,31,36.5,0,22.3,300,10.5,50,66.38
1/6/2012 16:00,27.2,30.6,0,13,270,10.3,66.6,83.2
1/6/2012 18:00,27,29.6,0,16.6,270,10.5,27.5,78.78
1/7/2012 8:00,28,31.3,0,11.2,230,10.5,27.5,74.3
1/7/2012 9:00,28,31.3,0,18.4,290,10.5,27.5,74.3
1/7/2012 10:00,30.4,34.2,0,27.7,290,10.3,45,62.62
1/7/2012 11:00,30.1,34.3,0,24.1,280,11,30,66.19
1/7/2012 12:00,31.1,35.6,0,22.3,280,11,30,62.51
1/7/2012 13:00,31.4,35.6,0,22.3,270,10.3,38.3,59.28
1/7/2012 14:00,30,35.1,0,24.1,300,10.5,50,70.29
1/7/2012 16:00,30,35.2,0,25.3,303,10.3,48.3,70.99
1/7/2012 17:00,27.1,29.3,0,22.3,290,11,50,74.15
1/7/2012 18:00,27.1,30.2,0,18.4,310,11,50,83.68
1/8/2012 8:00,27,29.6,0,18.4,280,10.5,27.5,78.78
1/8/2012 9:00,28,31.3,0,27.7,260,10.5,27.5,74.3
1/8/2012 10:00,28.4,32.3,0,18.4,270,10,90,75.72
1/8/2012 11:00,30,36.2,0,16.6,270,10.5,27.5,74.63
1/8/2012 12:00,31.1,37.9,0,20.5,250,11,30,70.48
1/8/2012 13:00,31.1,35.6,0,18.4,270,10,90,62.51
1/8/2012 16:00,29.3,33,0,20.5,260,10.3,48.3,68.07
1/8/2012 17:00,28,30.7,0,20.5,280,10.5,27.5,69.92
1/9/2012 7:00,26.7,29,0,11.2,310,10.5,55,79.22
1/9/2012 8:00,29,32,0,11.2,250,10.5,27.5,65.98
1/9/2012 10:00,31,34.7,0,22.3,250,10.3,48.3,59.06
1/9/2012 11:00,31,34.6,0,24.1,280,10.5,27.5,58.81
1/9/2012 12:00,31,34.6,0,25.9,290,10.5,27.5,58.81
1/9/2012 13:00,32.3,37.1,0,22.3,280,10.5,70,57.36
1/10/2012 9:00,27,30.6,0,14.8,270,5,27.5,88.84
1/10/2012 10:00,29.1,34.3,0,16.6,260,7,60,76.75
1/10/2012 11:00,30,35.1,0,24.1,280,10.5,27.5,70.29
1/10/2012 12:00,31,37.7,0,22.3,280,10.5,50,70.48
1/10/2012 13:00,31.2,36.7,0,18.4,280,10.5,60,65.04
1/10/2012 14:00,31.1,36.7,0,24.1,290,11,30,66.39
1/10/2012 15:00,30,36.2,0,20.5,310,10.5,27.5,74.63
1/10/2012 16:00,30.1,36.3,0,20.5,330,10.3,48.3,73.62
1/10/2012 18:00,27,29.6,0,22.3,300,10.5,27.5,78.78
1/11/2012 9:00,28,31.9,0,13,260,10.5,27.5,78.92
1/11/2012 10:00,29,33.4,0,13,280,10.3,51.6,74.16
1/11/2012 13:00,30.2,35.4,0,22.3,300,10.3,66.6,69.22
1/11/2012 14:00,30,35.1,0,20.5,290,10.5,50,70.29
1/11/2012 15:00,30,35.1,0,25.9,300,10.5,27.5,70.29
1/11/2012 16:00,30,35.3,0,18.4,300,6.5,51.6,70.58
1/11/2012 18:00,28,31.3,0,24.1,320,10.5,89,74.3
