Date,Conditions
2012-07-01 10:00:00,Clear
2012-07-01 11:00:00,Partially cloudy
2012-07-01 12:00:00,Partially cloudy
2012-07-01 13:00:00,Clear
2012-07-01 14:00:00,Partially cloudy
2012-07-01 15:00:00,Partially cloudy
2012-07-01 16:00:00,Clear
2012-07-01 17:00:00,Partially cloudy
2012-07-01 18:00:00,Partially cloudy
2012-07-01 19:00:00,Partially cloudy
2012-07-02 08:00:00,Clear
2012-07-02 09:00:00,Partially cloudy
2012-07-02 10:00:00,Partially cloudy
2012-07-02 11:00:00,Partially cloudy
2012-07-02 12:00:00,Partially cloudy
2012-07-02 13:00:00,Partially cloudy
2012-07-02 14:00:00,Partially cloudy
2012-07-02 15:00:00,Partially cloudy
2012-07-02 16:00:00,Partially cloudy
2012-07-02 17:00:00,Partially cloudy
2012-07-02 18:00:00,Partially cloudy
2012-07-02 19:00:00,Clear
2012-07-02 20:00:00,Partially cloudy
2012-07-03 08:00:00,Clear
2012-07-03 09:00:00,Clear
2012-07-03 10:00:00,Clear
2012-07-03 11:00:00,Clear
2012-07-03 12:00:00,Partially cloudy
2012-07-03 13:00:00,Partially cloudy
2012-07-03 14:00:00,Clear
2012-07-03 16:00:00,Partially cloudy
2012-07-03 17:00:00,Partially cloudy
2012-07-03 18:00:00,Partially cloudy
2012-07-03 19:00:00,Partially cloudy
2012-07-03 20:00:00,Partially cloudy
2012-07-03 21:00:00,Partially cloudy
2012-07-04 09:00:00,Partially cloudy
2012-07-04 10:00:00,Clear
2012-07-04 11:00:00,Partially cloudy
2012-07-04 12:00:00,Partially cloudy
2012-07-04 13:00:00,Clear
2012-07-04 15:00:00,Clear
2012-07-04 16:00:00,Clear
2012-07-05 09:00:00,Clear
2012-07-05 10:00:00,Partially cloudy
2012-07-05 11:00:00,Clear
2012-07-05 12:00:00,Partially cloudy
2012-07-05 13:00:00,Partially cloudy
2012-07-05 14:00:00,Partially cloudy
2012-07-05 15:00:00,Partially cloudy
2012-07-05 16:00:00,Partially cloudy
2012-07-05 17:00:00,Partially cloudy
2012-07-05 18:00:00,Partially cloudy
2012-07-06 09:00:00,Clear
2012-07-06 10:00:00,Partially cloudy
2012-07-06 13:00:00,Partially cloudy
2012-07-06 15:00:00,Partially cloudy
2012-07-06 16:00:00,Overcast
2012-07-06 18:00:00,Partially cloudy
2012-07-06 19:00:00,Partially cloudy
2012-07-07 10:00:00,Partially cloudy
2012-07-07 11:00:00,Partially cloudy
2012-07-07 12:00:00,Partially cloudy
2012-07-07 13:00:00,Partially cloudy
2012-07-07 14:00:00,Partially cloudy
2012-07-07 15:00:00,Partially cloudy
2012-07-07 16:00:00,Partially cloudy
2012-07-07 17:00:00,Partially cloudy
2012-07-07 18:00:00,Partially cloudy
2012-07-07 19:00:00,Partially cloudy
2012-07-07 20:00:00,Partially cloudy
2012-07-07 21:00:00,Partially cloudy
2012-07-08 09:00:00,Partially cloudy
2012-07-08 10:00:00,Partially cloudy
2012-07-08 11:00:00,Partially cloudy
2012-07-08 12:00:00,Partially cloudy
2012-07-08 13:00:00,Partially cloudy
2012-07-08 14:00:00,Partially cloudy
2012-07-08 15:00:00,Partially cloudy
2012-07-08 16:00:00,Partially cloudy
2012-07-08 17:00:00,Partially cloudy
2012-07-08 18:00:00,Partially cloudy
2012-07-08 19:00:00,Partially cloudy
2012-07-08 20:00:00,Partially cloudy
2012-07-09 08:00:00,Clear
2012-07-09 10:00:00,Clear
2012-07-09 12:00:00,Clear
2012-07-09 13:00:00,Partially cloudy
2012-07-09 15:00:00,Partially cloudy
2012-07-09 16:00:00,Clear
2012-07-09 17:00:00,Clear
2012-07-09 19:00:00,Clear
2012-07-09 20:00:00,Clear
2012-07-10 10:00:00,Partially cloudy
2012-07-10 12:00:00,Partially cloudy
2012-07-10 13:00:00,Partially cloudy
2012-07-10 14:00:00,Partially cloudy
2012-07-10 15:00:00,Partially cloudy
2012-07-10 16:00:00,Partially cloudy
2012-07-10 17:00:00,Partially cloudy
2012-07-10 18:00:00,Partially cloudy
2012-07-10 19:00:00,Partially cloudy
2012-07-10 22:00:00,Partially cloudy
2012-07-11 09:00:00,Clear
2012-07-11 10:00:00,Clear
2012-07-11 11:00:00,Partially cloudy
2012-07-11 12:00:00,Partially cloudy
2012-07-11 13:00:00,Partially cloudy
2012-07-11 14:00:00,Partially cloudy
2012-07-11 15:00:00,Partially cloudy
2012-07-11 16:00:00,Partially cloudy
2012-07-11 17:00:00,Partially cloudy
2012-07-11 18:00:00,Partially cloudy
2012-07-11 19:00:00,Partially cloudy
2012-07-11 20:00:00,Partially cloudy
2012-07-12 10:00:00,Clear
2012-07-12 11:00:00,Partially cloudy
2012-07-12 13:00:00,Partially cloudy
2012-07-12 14:00:00,Partially cloudy
2012-07-12 15:00:00,Partially cloudy
2012-07-12 16:00:00,Partially cloudy
2012-07-12 17:00:00,Partially cloudy
2012-07-12 18:00:00,Partially cloudy
2012-07-12 19:00:00,Partially cloudy
2012-07-13 09:00:00,Clear
2012-07-13 10:00:00,Clear
2012-07-13 11:00:00,Partially cloudy
2012-07-13 13:00:00,Partially cloudy
2012-07-13 14:00:00,Partially cloudy
2012-07-13 15:00:00,Partially cloudy
