Dates,Temperature,HeatIndex,Precipitation,WindSpeed,WindDirection,Visibility,CloudCover,RelativeHumidity
1/1/2016 8:00,30,33.3,0,7.6,150,8,27.5,62.28
1/1/2016 9:00,31,36.5,0,7.6,160,10,50,66.38
1/1/2016 10:00,32,39.1,0,9.4,70,10,35,66.06
1/1/2016 11:00,32,37.9,0,9.4,120,10,27.5,62.71
1/1/2016 13:00,33.3,37.9,0,11.2,60,10,35,53.34
1/1/2016 14:00,33,37,0,18.4,70,10,27.5,52.52
1/1/2016 15:00,31,36.5,0,16.6,40,10,27.5,66.38
1/1/2016 16:00,30.4,36.1,0,13,80,10,48.3,69.68
1/1/2016 17:00,30,35.1,0,11.2,90,10,27.5,70.29
1/1/2016 18:00,30,35.1,0,16.6,90,9,27.5,70.29
1/1/2016 19:00,30.2,35.8,0,15.4,80,8.7,45,71.04
1/1/2016 21:00,30,35.1,0,14.8,80,8,27.5,70.29
1/1/2016 22:00,30,36.2,0,12.4,70,7.3,45,75.07
1/1/2016 23:00,29,33.6,0,11.2,50,7,27.5,74.47
1/2/2016 0:00,29,33.6,0,9.4,60,7,27.5,74.47
1/2/2016 1:00,27.5,30.3,0,5,210,6,48.3,74.53
1/2/2016 2:00,27,30.1,0,5.4,190,6,27.5,83.68
1/2/2016 3:00,27,30.1,0,13,250,6,27.5,83.68
1/2/2016 7:00,27.7,32.4,0,7.6,210,5,50,88.36
1/2/2016 8:00,30,36.2,0,5.4,190,8,27.5,74.63
1/2/2016 9:00,30,34.1,0,9.4,60,10,27.5,66.18
1/2/2016 10:00,31.3,38.3,0,13,60,10,38.3,69.83
1/2/2016 11:00,31,36.5,0,13,100,10,27.5,66.38
1/2/2016 12:00,30,34.1,0,16.6,300,10,50,66.18
1/2/2016 13:00,30.3,35.9,0,16.6,313,8.7,60,70.77
1/2/2016 14:00,31,36.5,0,13,350,8,50,66.38
1/2/2016 15:00,32,36.8,0,11.2,360,9,27.5,59.04
1/2/2016 16:00,31.4,36.8,0,10,130,10,38.3,63.61
1/2/2016 17:00,30,34.1,0,13,30,9,27.5,66.18
1/2/2016 18:00,30,34.1,0,13,20,8,27.5,66.18
1/2/2016 19:00,29.3,33.7,0,8.8,23,8,38.3,71.58
1/2/2016 20:00,28,31.9,0,7.6,330,7,27.5,78.92
1/2/2016 21:00,29,33.6,0,5.4,310,7,27.5,74.47
1/2/2016 22:00,28.2,32.6,0,3.6,230,6,48.3,80.53
1/2/2016 23:00,27,30.1,0,9.4,230,6,27.5,83.68
1/3/2016 0:00,27,29.6,0,16.6,260,6,50,78.78
1/3/2016 7:00,27.2,30.4,0,5.4,260,7,60,83.19
1/3/2016 8:00,28,31.3,0,5.4,240,8,27.5,74.3
1/3/2016 9:00,30,34.1,0,9.4,150,10,27.5,66.18
1/3/2016 10:00,31.1,36.8,0,8.8,137,10,50,66.14
1/3/2016 11:00,31,35.5,0,9.4,90,10,50,62.5
