Dates,Temperature,HeatIndex,Precipitation,WindSpeed,WindDirection,Visibility,CloudCover,RelativeHumidity
1/1/2015 8:00,27,29.2,0,14.8,280,8,27.5,74.14
1/1/2015 9:00,28,31.3,0,13,280,10,27.5,74.3
1/1/2015 10:00,30.8,35.1,0,9.4,280,10,48.3,63.07
1/1/2015 12:00,32,34.9,0,11.2,220,10,27.5,52.27
1/1/2015 13:00,32.2,35.8,0,11.2,210,10,45,53.94
1/1/2015 14:00,32,34.2,0,7.6,170,10,27.5,49.14
1/1/2015 15:00,32,34.9,0,16.6,270,10,50,52.27
1/1/2015 16:00,29.3,32.9,0,14.8,130,7,66.6,66.85
1/2/2015 9:00,28,31.3,0,11.2,250,10,27.5,74.3
1/2/2015 10:00,29,32,0,16.6,250,10,27.5,65.98
1/2/2015 11:00,30,33.3,0,14.8,230,10,27.5,62.28
1/2/2015 12:00,31,34.6,0,22.3,280,10,27.5,58.81
1/2/2015 13:00,31.1,36,0,24.7,303,9.3,63.3,63.41
1/2/2015 15:00,32,35.8,0,20.5,270,10,50,55.56
1/2/2015 16:00,31,35,0,25.9,293,9.3,63.3,60.27
1/2/2015 17:00,27,28.8,0,16.6,260,7,50,69.74
1/3/2015 8:00,27,29.6,0,13,290,8,27.5,78.78
1/3/2015 9:00,28,31.3,0,11.2,260,10,27.5,74.3
1/3/2015 10:00,29,32.3,0,19.1,287,10,63.3,68.28
1/3/2015 11:00,29,32.7,0,20.5,300,10,50,70.11
1/3/2015 12:00,28,30.1,0,22.3,290,10,50,65.77
1/3/2015 13:00,29.9,34.2,0,17.2,293,10,51.6,67.77
1/3/2015 14:00,30,34.1,0,27.7,300,10,27.5,66.18
1/3/2015 15:00,29,32.7,0,24.1,300,10,27.5,70.11
1/3/2015 16:00,29.1,33.2,0,16,310,10,51.6,71.12
1/3/2015 19:00,27.9,31.8,0,5.4,230,8,100,80.33
1/3/2015 20:00,28,31.3,0,5.4,280,8,50,74.3
1/3/2015 21:00,28,31.3,0,5.4,340,8,27.5,74.3
1/4/2015 8:00,28,30.7,0,9.4,280,10,27.5,69.92
1/4/2015 9:00,29,32,0,9.4,290,10,27.5,65.98
1/4/2015 10:00,29.9,34.4,0,6.7,253,10,63.3,68.46
1/4/2015 11:00,31,35.5,0,13,270,10,89,62.5
1/4/2015 12:00,32,36.8,0,14.8,260,10,50,59.04
1/4/2015 13:00,32.2,35.8,0,19.1,250,10,63.3,54.26
1/4/2015 14:00,32,35.8,0,9.4,280,10,50,55.56
1/4/2015 16:00,30.2,34.9,0,14.2,147,10,63.3,67.16
1/5/2015 10:00,30.7,34.4,0,10,337,10,45,60.81
1/5/2015 12:00,30,34.1,0,14.8,80,10,50,66.18
1/5/2015 13:00,31.4,36.5,0,13,90,10,60,62.6
1/5/2015 14:00,31,34.6,0,11.2,50,10,89,58.81
1/5/2015 15:00,32,35.8,0,20.5,280,10,89,55.56
1/6/2015 10:00,30.7,32.5,0,5.4,70,10,20,51.93
1/6/2015 12:00,32,33.5,0,13,270,10,27.5,46.18
1/6/2015 13:00,31.4,34.6,0,7.6,60,10,45,55.87
1/6/2015 14:00,32,33.5,0,14.8,60,10,27.5,46.18
1/6/2015 15:00,31,33,0,16.6,300,10,27.5,52.01
1/6/2015 16:00,30.4,34.2,0,14.8,130,10,48.3,62
1/6/2015 17:00,30,32.6,0,13,150,10,27.5,58.58
1/6/2015 18:00,29,32,0,11.2,20,9,27.5,65.98
1/6/2015 19:00,29,32.5,0,8.8,343,8,63.3,68.02
1/6/2015 20:00,28,30.7,0,9.4,340,8,50,69.92
1/6/2015 21:00,28,30.7,0,13,310,8,50,69.92
1/6/2015 22:00,27.3,30,0,10,300,7,45,75.1
1/6/2015 23:00,27,29.2,0,9.4,290,7,27.5,74.14
1/7/2015 0:00,27,29.6,0,7.6,300,6,27.5,78.78
1/7/2015 7:00,26.7,29.2,0,0,0,3,38.3,80.34
1/7/2015 8:00,29,31.4,0,11.2,140,8,27.5,62.06
1/7/2015 9:00,31,33,0,7.6,140,10,27.5,52.01
1/7/2015 10:00,31.1,35,0,14.8,50,10,35,59.44
1/7/2015 11:00,30,33.3,0,13,80,10,27.5,62.28
1/7/2015 12:00,32,34.9,0,20.5,270,10,27.5,52.27
