Dates,Temperature,HeatIndex,Precipitation,WindSpeed,WindDirection,Visibility,CloudCover,RelativeHumidity
2015-01-01 08:00:00,27.0,29.2,0.0,14.8,280.0,8.0,27.5,74.14
2015-01-01 09:00:00,28.0,31.3,0.0,13.0,280.0,10.0,27.5,74.29999999999998
2015-01-01 10:00:00,30.8,35.1,0.0,9.4,280.0,10.0,48.3,63.07
2015-01-01 12:00:00,32.0,34.9,0.0,11.2,220.0,10.0,27.5,52.27000000000001
2015-01-01 13:00:00,32.2,35.8,0.0,11.2,210.0,10.0,45.0,53.94
2015-01-01 14:00:00,32.0,34.2,0.0,7.6,170.0,10.0,27.5,49.14
2015-01-01 15:00:00,32.0,34.9,0.0,16.6,270.0,10.0,50.0,52.27000000000001
2015-01-01 16:00:00,29.3,32.9,0.0,14.8,130.0,7.0,66.6,66.85
2015-01-02 09:00:00,28.0,31.3,0.0,11.2,249.99999999999997,10.0,27.5,74.29999999999998
2015-01-02 10:00:00,28.999999999999996,32.0,0.0,16.6,249.99999999999997,10.0,27.5,65.98
2015-01-02 11:00:00,30.0,33.3,0.0,14.8,230.0,10.0,27.5,62.28
2015-01-02 12:00:00,31.0,34.6,0.0,22.3,280.0,10.0,27.5,58.81
2015-01-02 13:00:00,31.1,36.0,0.0,24.7,303.0,9.3,63.3,63.41
2015-01-02 15:00:00,32.0,35.8,0.0,20.5,270.0,10.0,50.0,55.56
2015-01-02 16:00:00,31.0,35.0,0.0,25.9,293.0,9.3,63.3,60.27
2015-01-02 17:00:00,27.0,28.799999999999997,0.0,16.6,260.0,7.0,50.0,69.74
2015-01-03 08:00:00,27.0,29.6,0.0,13.0,290.0,8.0,27.5,78.78
2015-01-03 09:00:00,28.0,31.3,0.0,11.2,260.0,10.0,27.5,74.29999999999998
2015-01-03 10:00:00,28.999999999999996,32.3,0.0,19.1,287.0,10.0,63.3,68.28
2015-01-03 11:00:00,28.999999999999996,32.7,0.0,20.5,300.0,10.0,50.0,70.11
2015-01-03 12:00:00,28.0,30.1,0.0,22.3,290.0,10.0,50.0,65.77
2015-01-03 13:00:00,29.9,34.2,0.0,17.2,293.0,10.0,51.6,67.77
2015-01-03 14:00:00,30.0,34.1,0.0,27.7,300.0,10.0,27.5,66.18
2015-01-03 15:00:00,28.999999999999996,32.7,0.0,24.1,300.0,10.0,27.5,70.11
2015-01-03 16:00:00,29.1,33.2,0.0,16.0,310.0,10.0,51.6,71.12
2015-01-03 19:00:00,27.9,31.8,0.0,5.4,230.0,8.0,100.0,80.33
