,Date,Conditions
0,2015-12-21 18:00:00,Partially cloudy
1,2015-12-22 07:00:00,Partially cloudy
2,2015-12-22 08:00:00,Partially cloudy
3,2015-12-22 09:00:00,Partially cloudy
4,2015-12-22 10:00:00,Partially cloudy
5,2015-12-22 11:00:00,Partially cloudy
6,2015-12-22 12:00:00,Partially cloudy
7,2015-12-22 13:00:00,Partially cloudy
8,2015-12-22 14:00:00,Partially cloudy
9,2015-12-22 15:00:00,Partially cloudy
10,2015-12-22 16:00:00,"Rain, Partially cloudy"
11,2015-12-22 17:00:00,Partially cloudy
12,2015-12-22 18:00:00,Partially cloudy
13,2015-12-22 19:00:00,Partially cloudy
14,2015-12-22 20:00:00,Partially cloudy
15,2015-12-23 07:00:00,Partially cloudy
16,2015-12-23 08:00:00,Partially cloudy
17,2015-12-23 09:00:00,Partially cloudy
18,2015-12-23 10:00:00,Partially cloudy
19,2015-12-23 12:00:00,Partially cloudy
20,2015-12-23 13:00:00,Partially cloudy
21,2015-12-23 14:00:00,Partially cloudy
22,2015-12-23 15:00:00,Partially cloudy
23,2015-12-23 16:00:00,"Rain, Partially cloudy"
24,2015-12-23 17:00:00,Partially cloudy
25,2015-12-23 18:00:00,Partially cloudy
26,2015-12-23 21:00:00,Partially cloudy
27,2015-12-23 22:00:00,Partially cloudy
28,2015-12-24 07:00:00,Partially cloudy
29,2015-12-24 08:00:00,Partially cloudy
30,2015-12-24 09:00:00,Partially cloudy
31,2015-12-24 10:00:00,Partially cloudy
32,2015-12-24 11:00:00,Partially cloudy
33,2015-12-24 12:00:00,Partially cloudy
34,2015-12-24 13:00:00,Partially cloudy
35,2015-12-24 14:00:00,Partially cloudy
36,2015-12-24 15:00:00,Overcast
37,2015-12-24 16:00:00,"Rain, Partially cloudy"
38,2015-12-24 17:00:00,Partially cloudy
39,2015-12-24 18:00:00,Partially cloudy
40,2015-12-24 19:00:00,Partially cloudy
41,2015-12-25 07:00:00,Partially cloudy
42,2015-12-25 08:00:00,Partially cloudy
43,2015-12-25 09:00:00,Partially cloudy
44,2015-12-25 10:00:00,Partially cloudy
45,2015-12-25 11:00:00,Partially cloudy
