Temperature,Relative_Humidity,Condition
29.1,73.8,5
28,78.65,5
25.3,87.89,2
29.4,71.41,2
27.8,80.54,5
28.3,78.94,5
26.8,84.49,5
24.6,91.4,4
27,83.24,5
24.9,88.1,4
26.1,86.76,5
25.5,87.69,5
27.5,74.96,5
29.1,71.38,2
27.5,79.24,5
28,77.78,5
26.5,83.85,5
25.6,90.38,5
25.4,85.54,5
26.9,80.42,5
27.5,77.93,5
27.4,75.57,2
27.1,79.66,5
26.1,82.58,5
27.1,82.12,5
26.2,84.15,5
26.6,80.71,5
26.7,82.86,5
26.9,84.89,2
25.4,85.84,5
26.5,81.2,5
26,84.12,5
26.6,80.71,2
27.2,78.77,2
27,77.87,5
27.5,77.81,5
26.9,81.75,5
25.7,86.44,5
25.5,88.13,5
25.4,86.45,5
26.6,80.36,2
27.9,74.76,5
28.4,75.49,5
27.6,80.53,5
26.9,83.38,5
26.7,84,5
27.4,81.01,5
27.4,82.38,5
26.6,84.38,5
28.2,73.93,5
27.6,76.99,2
28,77.47,2
27.7,80.95,5
27.2,80.01,5
27.3,80.77,5
26.3,84.53,5
25.5,87.13,5
27.7,78.49,5
27,81.08,5
27.6,78.28,5
28.3,75.23,5
26.4,82.83,5
25.6,85.4,2
26.1,86.15,2
27,80.59,5
26.9,81.7,2
26.4,83.6,5
27.2,78.32,5
27.4,79.54,2
27.8,78.21,2
27.7,81.45,5
27,84.55,5
26.5,82.57,5
27.8,74.47,5
27.7,72.03,5
29.2,69.76,2
28.6,72.22,2
27.3,78.46,5
27.8,80.37,5
28.4,76.05,2
27.3,79.73,5
27,82.27,5
27.4,80.4,0
27.6,83.05,2
27.3,79.47,5
27.9,76.95,5
26,86.02,5
26.2,84.14,5
27.1,82.09,5
28.3,76.8,2
28.9,75.49,5
27.4,83.11,5
28.9,76.47,5
28.4,76.77,5
26.5,84.69,5
28,77.59,2
27.6,82.37,5
27.7,81.64,5
27.8,82.34,5
28,81.3,5
28.5,78.93,5
26.8,83.8,5
26.9,85.77,5
28,80.72,2
27.2,82.9,5
26.9,84.03,5
27.2,82.7,5
27.8,79.22,5
28.1,77.24,2
28,79.4,5
28.2,77.08,2
27.5,79.97,2
26.8,83.45,5
28.7,79.22,2
26.3,88.03,5
27.7,81.19,5
26.1,87.59,5
28.5,76.25,2
28.6,77.96,2
29.1,71.52,2
28,76.62,5
27.2,80.12,5
25.7,85.69,2
26.9,81.51,5
27.3,81.18,5
28.6,73.14,5
28.3,74.5,5
28.3,71,5
28.2,73.88,2
28.8,71.84,2
28.2,72.88,0
28.5,72.26,5
29.2,71.33,5
27.9,80.62,5
28.2,77.89,5
29.1,80.02,5
28.7,77.93,5
28.9,76.86,5
28.7,75.72,5
27.7,82.01,5
25.8,88.91,5
27.9,81.75,2
27.7,82.42,5
28.3,79.89,5
29.3,74.5,5
28.9,74.14,5
29.2,75.96,2
28.7,72.79,5
27.6,80.95,5
28.9,76.6,2
29.4,70.04,5
29.3,64.92,2
26.1,77.76,2
29.2,69.19,5
26.7,81.72,5
27.6,83.02,5
28.5,77.87,2
28.4,76.75,2
27.9,76.36,5
28.1,69.87,2
27.4,70.31,0
27,74.12,5
27.2,74,2
27.3,74.49,5
26.2,79.68,5
26.8,70.62,5
28.4,65.46,2
27.4,69.36,5
27.3,76.64,5
28.8,68.87,5
26,81.11,5
28.1,72.18,5
28.5,69.8,2
27.4,75.1,5
28,72.04,0
27,68.69,2
27.7,63.74,5
27,66.71,3
25.1,73.61,5
26.7,69.07,0
27,70.94,5
27.4,66.97,3
25.6,78.41,0
27.9,69.99,2
28,67.44,5
28.1,70.19,3
28.2,70.86,0
28.8,64.5,0
27.9,70.75,0
29,67.56,0
27.6,68.53,0
27.5,63.38,0
27.4,65,0
28.1,68.91,2
28.7,66.25,2
27.8,67.38,0
26.9,66.34,0
27.8,66.73,5
27.8,69.57,5
28.7,65.38,0
27.9,69.52,5
28,69.47,5
25.9,70.81,5
27.6,57.74,0
27.3,61.71,0
27.2,67.63,0
27.4,70.9,0
28.7,66.88,0
27.1,71.91,5
28.3,70.73,2
28.2,72.47,5
28.4,68.86,0
27,72.78,5
27.7,70.24,5
27.1,68.69,2
27.9,69.24,2
27.6,65.56,0
27.9,64.58,0
