Temperature,Relative_Humidity,Heat_Index,Precipitation,Wind_Speed,Cloud_Cover,Condition
29.1,73.8,38.2,2,18.4,53.1,"Rain, Partially cloudy"
28,78.65,39.4,0.7,27.7,41.9,"Rain, Partially cloudy"
25.3,87.89,32.9,0,22.3,40.7,Partially cloudy
29.4,71.41,36.7,0,14.8,30,Partially cloudy
27.8,80.54,38.4,4.13,11.2,44.3,"Rain, Partially cloudy"
28.3,78.94,39.9,7.9,22.3,47.4,"Rain, Partially cloudy"
26.8,84.49,39.5,82.7,13,64.3,"Rain, Partially cloudy"
24.6,91.4,28.7,11.7,18.3,79,"Rain, Overcast"
27,83.24,38.4,84,13,67.1,"Rain, Partially cloudy"
24.9,88.1,33.5,58.2,21.9,84.2,"Rain, Overcast"
26.1,86.76,35.2,1,14.8,72.9,"Rain, Partially cloudy"
25.5,87.69,35.2,17.7,13,53.9,"Rain, Partially cloudy"
27.5,74.96,36.8,6.9,14.8,48.3,"Rain, Partially cloudy"
29.1,71.38,37.1,0,16.6,42,Partially cloudy
27.5,79.24,36.9,20,14.8,47.2,"Rain, Partially cloudy"
28,77.78,38,15.9,18.4,56.2,"Rain, Partially cloudy"
26.5,83.85,36.9,59.7,18.4,57.9,"Rain, Partially cloudy"
25.6,90.38,33.7,44,13,56,"Rain, Partially cloudy"
25.4,85.54,34.3,9.1,14.8,53.7,"Rain, Partially cloudy"
26.9,80.42,36.2,13.5,18.4,60.5,"Rain, Partially cloudy"
27.5,77.93,35.6,2,25.9,47.4,"Rain, Partially cloudy"
27.4,75.57,35.9,0,38.9,58.3,Partially cloudy
27.1,79.66,35.6,25.9,27.7,61.2,"Rain, Partially cloudy"
26.1,82.58,33.7,8.5,29.5,57.7,"Rain, Partially cloudy"
27.1,82.12,34.3,4.7,36.5,72.2,"Rain, Partially cloudy"
26.2,84.15,34.4,5,18.4,69,"Rain, Partially cloudy"
26.6,80.71,34.3,13,25.9,60.6,"Rain, Partially cloudy"
26.7,82.86,36.7,6.4,27.7,67.6,"Rain, Partially cloudy"
26.9,84.89,38,0,18.4,39.3,Partially cloudy
25.4,85.84,36.7,33.7,45.5,50.9,"Rain, Partially cloudy"
26.5,81.2,36.7,28.3,18.4,62.2,"Rain, Partially cloudy"
26,84.12,34.3,24.4,22.3,56.2,"Rain, Partially cloudy"
26.6,80.71,36.9,0,27.5,60,Partially cloudy
27.2,78.77,35,0,27.7,71.3,Partially cloudy
