Date,MaxTemp,MinTemp,Temperature,HeatIndex,Precipitation,WindSpeed,Visibility,CloudCover,RelativeHumidity,Conditions
1/1/1973,32.1,32.1,32.1,38,0,9,14,30,62.73,Partially cloudy
1/4/1973,31.1,31.1,31.1,37.9,0,9,16,80,70.48,Overcast
1/6/1973,33.1,33.1,33.1,40.7,0,13,15,40,62.94,Partially cloudy
1/11/1973,32.1,32.1,32.1,38,0,16.6,12,90,62.73,Overcast
1/12/1973,30.1,23.1,26.6,35.2,0,10.8,15,95,79.41,Overcast
1/13/1973,29.1,21.1,26.1,33.7,0,14.8,14.3,93.3,84.47,Overcast
1/14/1973,30.1,23.1,27.3,36.3,0,7.2,11.7,88,82.15,Overcast
1/15/1973,28.1,22.1,26.1,32.8,0,17.9,19,69.8,81.52,Partially cloudy
1/16/1973,29.1,22.2,26.4,29.9,0,25.3,17.3,52,78.61,Partially cloudy
1/17/1973,28.1,22.1,25.7,30.9,0,18.1,16.6,57,76.53,Partially cloudy
1/18/1973,29.1,23.1,25.7,32.9,0,18.4,11.2,76.8,62.35,Overcast
1/19/1973,31.1,25.1,28.1,36.7,0,10.8,10.5,40,80.29,Partially cloudy
1/22/1973,27.2,22.1,25.6,30.4,0,10.8,16.9,87.5,81.96,Overcast
1/24/1973,30.1,25.1,27.3,35.2,0,18.4,14.3,95,76.88,Overcast
1/25/1973,33.1,26.1,29.1,39.4,0,14.8,14.6,76.7,75.55,Overcast
1/26/1973,33.1,25.1,28.1,39.4,0,13,9.3,80,82.57,Overcast
1/27/1973,29.1,22.1,25.1,32.1,0,10.8,9,90,88.66,Overcast
1/28/1973,27.1,23.1,25.1,28.7,0,14.8,13.3,90.1,81.12,Overcast
1/29/1973,32.1,22.1,27.1,39.3,0,27.3,13.9,69.8,81.25,Partially cloudy
1/30/1973,31.1,24.1,27.3,37.9,0,18.4,9.8,82.5,78.61,Overcast
1/31/1973,30.1,23.1,26.7,35.2,0,22,13.3,76.6,80.79,Overcast
2/1/1973,28.1,25.1,26.6,30.9,0,15,12.9,79.9,82.02,Overcast
2/2/1973,32.1,25.1,29.1,39.3,0,24.1,16,60,71.68,Partially cloudy
2/3/1973,33.1,23.1,28.1,39.4,0,22,16,60,73.9,Partially cloudy
2/4/1973,33.1,26.1,27.8,39.4,0,18.4,10.5,67.5,81.39,Partially cloudy
2/5/1973,32.1,23.1,27.6,38,0,25.9,11.5,67.5,80.33,Partially cloudy
2/6/1973,27.1,24.1,25.6,28.9,0,7.2,20,85,74.05,Overcast
2/7/1973,27.1,23.1,25.1,28.7,0,14.8,15.9,92.9,82.84,Overcast
2/8/1973,29.1,22.1,25.6,33.7,0,25.3,11,69.9,81.53,Partially cloudy
2/9/1973,27.1,22.1,24.6,30.8,0,0,11.9,84.7,91.53,Overcast
2/10/1973,28.1,23.1,25.6,32.8,0,7.2,12.5,60,86.16,Partially cloudy
2/11/1973,30.1,23.1,27.4,35.2,0,16.6,12.3,83,81.16,Overcast
2/12/1973,28.1,23.1,25.8,32.1,0,18.3,14.9,89.5,83.87,Overcast
2/13/1973,31.1,25.1,28.1,36.7,0,18.4,11.3,72.5,82.04,Partially cloudy
2/14/1973,31.1,24.1,28.1,36.7,0,13,15.5,53.4,76.36,Partially cloudy
2/15/1973,32.1,29.1,30.6,36.9,0,9,12,80,66.77,Overcast
2/16/1973,32.1,23.1,29.3,38,0,13,13.4,46,75.55,Partially cloudy
2/17/1973,29.1,21.1,25.1,33.7,0,7.2,15,35,74.47,Partially cloudy
2/18/1973,33.1,22.2,28.4,42.3,0,0.2,11,40.3,74.94,Partially cloudy
2/19/1973,28.1,22.1,25.4,32.8,0,24.1,11.3,83.3,88.82,Overcast
2/20/1973,31.1,23.1,28.4,36.7,0,10.8,12.9,73.3,73.82,Partially cloudy
2/21/1973,29.1,22.1,27.3,34.7,0,18.4,8.5,52.5,84.3,Partially cloudy
2/22/1973,33.1,29.1,31.1,39.4,0,10.8,12.7,56.7,69.61,Partially cloudy
2/23/1973,30.1,22.2,26.1,37.6,0,7.2,16.8,59.7,83.9,Partially cloudy
2/24/1973,27.1,27.1,27.1,28.9,0,3.6,19,90,69.74,Overcast
2/25/1973,32.1,21.1,27.9,36.9,0,10.8,12.4,70,77.47,Partially cloudy
2/26/1973,32.1,21.2,26.8,39.3,0,14.8,15.2,74.8,79.97,Partially cloudy
2/27/1973,30.1,23.1,27.7,36.3,0,18.3,14.1,68.1,74.38,Partially cloudy
2/28/1973,33.1,22.2,26.8,40.7,0,18.4,12.6,93.4,85.61,Overcast
3/1/1973,32.1,23.1,27.6,39.3,0,17.9,12,69.9,80.42,Partially cloudy
3/2/1973,31.1,23.1,28.1,36.7,0,9,15,67.2,73.87,Partially cloudy
3/3/1973,31.1,22.2,28.1,36.7,0,10.8,13.2,72.6,77.31,Partially cloudy
3/4/1973,30.1,23.1,26.7,35.2,0,14.8,13.7,80,84.42,Overcast
3/5/1973,28.1,23.1,25.6,33.7,0,0,13.9,100,88.86,Overcast
3/6/1973,30.1,23.1,26.6,36.3,0,10.8,13.4,69.5,81.58,Partially cloudy
3/7/1973,31.1,22.1,26.6,36.7,0,10.8,14.4,69.7,80.23,Partially cloudy
3/8/1973,32.1,22.1,27.4,39.3,0,10.8,13.6,76.7,79.86,Overcast
3/9/1973,27.1,22.1,25.8,30.2,0,18.4,13.3,52.8,81.6,Partially cloudy
3/10/1973,28.1,23.1,25.7,32.8,0,9,10.8,88.2,90.27,Overcast
3/11/1973,28.1,23.1,26.1,33.7,0,21.6,13.2,76.8,88.86,Overcast
3/12/1973,28.1,24.1,26.8,31.4,0,18.4,15.2,77.6,79.09,Overcast
3/13/1973,30.1,26.1,28.1,36.3,0,9,10.5,95,84.44,Overcast
3/14/1973,32.1,26.1,29.1,38,0,22,13.7,89.7,77.7,Overcast
3/20/1973,29.1,29.1,29.1,34.7,0,5.4,12,80,79.07,Overcast
3/21/1973,27.1,25.2,26.1,30.2,0,10.9,12,89.2,80.98,Overcast
3/22/1973,29.1,23.1,25.9,35.8,0,14.4,8,78,90.13,Overcast
3/23/1973,29.1,22.1,25.1,32.2,0,25.6,10.5,97.2,88.66,Overcast
3/24/1973,28.1,26.1,27.1,32.8,0,18.4,13.3,93.3,83.76,Overcast
3/25/1973,31.1,22.1,26.7,37.9,0,10.8,12.8,84,89.67,Overcast
3/26/1973,32.1,22.2,28.4,38,0,14.8,15.9,40.4,75.76,Partially cloudy
3/27/1973,29.1,22.1,26.1,34.7,0,18,18.1,49.9,82.52,Partially cloudy
3/28/1973,32.1,22.1,27.7,40.8,0,7.2,13.7,66.7,74.87,Partially cloudy
3/29/1973,28.1,22.1,25.1,33.7,0,0,12.5,35,91.49,Partially cloudy
3/30/1973,31.1,26.1,28.6,36.7,0,10.8,13,35,83.2,Partially cloudy
3/31/1973,29.1,23.1,26.7,35.8,0,14.8,15.3,36.7,79.4,Partially cloudy
4/1/1973,32.1,22.1,27.1,39.3,0,14.8,14.4,25,80.33,Clear
4/2/1973,32.1,29.1,30.6,40.8,0,9,13,50,74.87,Partially cloudy
4/3/1973,32.1,22.2,28.3,39.3,0,9,14.9,63.9,77.49,Partially cloudy
4/4/1973,32.1,22.1,27.3,39.3,0,21.6,13.2,72.5,81.32,Partially cloudy
4/5/1973,32.1,28.1,30.1,40.8,0,22,13.5,75,74.8,Partially cloudy
4/6/1973,30.1,21.2,25.6,36.3,0,14.8,11.9,69.6,87.24,Partially cloudy
4/7/1973,30.1,26.1,28.4,36.3,0,10.8,13.3,83.3,77.45,Overcast
4/9/1973,31.1,21.2,27.1,37.9,0,13,15.6,26.5,83.13,Partially cloudy
4/10/1973,31.1,22.2,26.6,36.7,0,7.2,8.5,54.9,80.23,Partially cloudy
4/11/1973,30.1,23.1,27.3,35.2,0,18,14.6,83.5,80.13,Overcast
4/13/1973,31.1,21.2,27.8,37.9,0,14.8,12,52.2,76.49,Partially cloudy
4/14/1973,32.1,23.1,27.8,36.9,0,14.8,17.4,29.9,72.99,Partially cloudy
4/15/1973,32.1,27.1,30.1,36.7,0,7.2,12.8,32.5,68.99,Partially cloudy
