Date,Temperature,HeatIndex,Precipitation,WindSpeed,Conditions,Visibility,CloudCover,RelativeHumidity
1/1/1973,32.1,38,0,9,Partially cloudy,14,30,62.73
1/4/1973,31.1,37.9,0,9,Overcast,16,80,70.48
1/6/1973,33.1,40.7,0,13,Partially cloudy,15,40,62.94
1/11/1973,32.1,38,0,16.6,Overcast,12,90,62.73
1/12/1973,26.6,35.2,0,10.8,Overcast,15,95,79.41
1/13/1973,26.1,33.7,0,14.8,Overcast,14.3,93.3,84.47
1/14/1973,27.3,36.3,0,7.2,Overcast,11.7,88,82.15
1/15/1973,26.1,32.8,0,17.9,Partially cloudy,19,69.8,81.52
1/16/1973,26.4,29.9,0,25.3,Partially cloudy,17.3,52,78.61
1/17/1973,25.7,30.9,0,18.1,Partially cloudy,16.6,57,76.53
1/18/1973,25.7,32.9,0,18.4,Overcast,11.2,76.8,62.35
1/19/1973,28.1,36.7,0,10.8,Partially cloudy,10.5,40,80.29
1/22/1973,25.6,30.4,0,10.8,Overcast,16.9,87.5,81.96
1/24/1973,27.3,35.2,0,18.4,Overcast,14.3,95,76.88
1/25/1973,29.1,39.4,0,14.8,Overcast,14.6,76.7,75.55
1/26/1973,28.1,39.4,0,13,Overcast,9.3,80,82.57
1/27/1973,25.1,32.1,0,10.8,Overcast,9,90,88.66
1/28/1973,25.1,28.7,0,14.8,Overcast,13.3,90.1,81.12
1/29/1973,27.1,39.3,0,27.3,Partially cloudy,13.9,69.8,81.25
1/30/1973,27.3,37.9,0,18.4,Overcast,9.8,82.5,78.61
1/31/1973,26.7,35.2,0,22,Overcast,13.3,76.6,80.79
2/1/1973,26.6,30.9,0,15,Overcast,12.9,79.9,82.02
2/2/1973,29.1,39.3,0,24.1,Partially cloudy,16,60,71.68
2/3/1973,28.1,39.4,0,22,Partially cloudy,16,60,73.9
2/4/1973,27.8,39.4,0,18.4,Partially cloudy,10.5,67.5,81.39
2/5/1973,27.6,38,0,25.9,Partially cloudy,11.5,67.5,80.33
2/6/1973,25.6,28.9,0,7.2,Overcast,20,85,74.05
2/7/1973,25.1,28.7,0,14.8,Overcast,15.9,92.9,82.84
2/8/1973,25.6,33.7,0,25.3,Partially cloudy,11,69.9,81.53
2/9/1973,24.6,30.8,0,0,Overcast,11.9,84.7,91.53
2/10/1973,25.6,32.8,0,7.2,Partially cloudy,12.5,60,86.16
2/11/1973,27.4,35.2,0,16.6,Overcast,12.3,83,81.16
