Date,MaxTemp,MinTemp,Temp,HeatIndex,Precipitation,WindSpeed,Visibility,CloudCover,RelativeHumidity,Conditions
1/1/2000 0:00,32.1,24.7,29.1,38.2,2,18.4,9.2,53.1,73.8,"Rain, Partially cloudy"
1/2/2000 0:00,33.1,25,28,39.4,0.7,27.7,8.6,41.9,78.65,"Rain, Partially cloudy"
1/3/2000 0:00,29.1,23.1,25.3,32.9,0,22.3,6.8,40.7,87.89,Partially cloudy
1/4/2000 0:00,31.1,27.1,29.4,36.7,0,14.8,10.4,30,71.41,Partially cloudy
1/5/2000 0:00,32.1,23.4,27.8,38.4,4.13,11.2,8.4,44.3,80.54,"Rain, Partially cloudy"
1/6/2000 0:00,33.1,25.4,28.3,39.9,7.9,22.3,8.1,47.4,78.94,"Rain, Partially cloudy"
1/7/2000 0:00,33.4,23.1,26.8,39.5,82.7,13,7.1,64.3,84.49,"Rain, Partially cloudy"
1/8/2000 0:00,26.9,23.6,24.6,28.7,11.7,18.3,6.5,79,91.4,"Rain, Overcast"
1/9/2000 0:00,31.6,23.6,27,38.4,84,13,8.1,67.1,83.24,"Rain, Partially cloudy"
1/10/2000 0:00,29.2,20.7,24.9,33.5,58.2,21.9,7.1,84.2,88.1,"Rain, Overcast"
1/11/2000 0:00,29.9,24.2,26.1,35.2,1,14.8,7.6,72.9,86.76,"Rain, Partially cloudy"
1/12/2000 0:00,30.1,23.1,25.5,35.2,17.7,13,7.8,53.9,87.69,"Rain, Partially cloudy"
1/13/2000 0:00,32.1,22.7,27.5,36.8,6.9,14.8,9.2,48.3,74.96,"Rain, Partially cloudy"
1/14/2000 0:00,33.1,24.1,29.1,37.1,0,16.6,9.4,42,71.38,Partially cloudy
1/15/2000 0:00,32.1,22.7,27.5,36.9,20,14.8,9.1,47.2,79.24,"Rain, Partially cloudy"
1/16/2000 0:00,32.2,24.4,28,38,15.9,18.4,8.8,56.2,77.78,"Rain, Partially cloudy"
1/17/2000 0:00,32.1,21.7,26.5,36.9,59.7,18.4,7.5,57.9,83.85,"Rain, Partially cloudy"
1/18/2000 0:00,29.2,24.1,25.6,33.7,44,13,6.8,56,90.38,"Rain, Partially cloudy"
1/19/2000 0:00,30.1,19.7,25.4,34.3,9.1,14.8,8.1,53.7,85.54,"Rain, Partially cloudy"
1/20/2000 0:00,31.1,22.1,26.9,36.2,13.5,18.4,8.7,60.5,80.42,"Rain, Partially cloudy"
1/21/2000 0:00,31.1,24.1,27.5,35.6,2,25.9,9.5,47.4,77.93,"Rain, Partially cloudy"
