Tanggal,Temperatur,Presipitasi,Kec.Angin,Cuaca,ArahAngin,JarakPandang,Awan,Kelembapan
1/1/2010 1:00,26.7,0.2,5.4,5,10.0,7.0,75.0,90.69
1/1/2010 4:00,26.0,0.0,5.4,2,220.0,7.0,65.0,95.08
1/1/2010 5:00,25.1,0.0,5.4,2,270.0,3.0,30.0,100.0
1/1/2010 9:00,29.0,0.0,0.0,2,0.0,9.0,50.0,74.47
1/1/2010 10:00,29.2,0.0,4.8,2,247.0,9.0,48.3,75.1
1/1/2010 11:00,29.0,0.0,11.2,2,20.0,9.0,27.5,70.11
1/1/2010 12:00,31.0,0.0,9.4,2,30.0,9.0,27.5,62.5
1/1/2010 13:00,32.7,0.0,7.6,1,50.0,10.0,80.0,62.85
1/1/2010 15:00,25.0,0.0,27.7,2,280.0,2.0,50.0,88.68
1/1/2010 17:00,26.0,0.0,5.4,2,210.0,8.0,27.5,88.76
1/1/2010 18:00,25.0,0.0,11.2,2,180.0,5.0,50.0,88.68
1/1/2010 19:00,25.8,3.0,1.2,5,160.0,6.0,63.3,90.17
1/1/2010 20:00,25.0,0.0,0.0,2,0.0,6.0,50.0,94.19
1/1/2010 21:00,26.0,0.0,7.6,2,330.0,7.0,27.5,88.76
1/1/2010 22:00,26.0,0.2,1.2,5,169.0,7.7,48.3,90.18
1/1/2010 23:00,26.0,0.0,0.0,2,0.0,8.0,27.5,94.23
1/2/2010 4:00,25.1,0.0,3.6,2,240.0,10.0,50.0,95.33
1/2/2010 10:00,31.9,0.0,3.6,2,240.0,8.0,35.0,63.57
1/2/2010 11:00,33.0,0.0,5.4,2,110.0,9.0,27.5,49.4
1/2/2010 12:00,33.0,0.0,13.0,2,70.0,10.5,27.5,55.81
1/2/2010 13:00,33.3,0.0,12.4,2,57.0,10.3,35.0,52.71
1/2/2010 14:00,32.0,0.0,22.3,2,60.0,10.5,50.0,52.27
1/2/2010 15:00,31.0,0.0,20.5,2,20.0,10.5,50.0,66.38
1/2/2010 16:00,31.1,0.0,14.8,2,20.0,10.3,60.0,63.54
1/2/2010 17:00,30.0,0.0,11.2,2,40.0,10.5,27.5,66.18
1/2/2010 19:00,29.1,0.0,3.6,2,20.0,10.3,48.3,72.71
1/3/2010 1:00,27.3,0.0,3.6,2,270.0,5.0,45.0,84.88
1/3/2010 2:00,27.0,0.0,3.6,2,270.0,4.0,27.5,83.68
1/3/2010 4:00,25.4,0.8,2.4,5,330.0,5.0,63.3,94.02
1/3/2010 5:00,26.0,0.0,1.8,2,280.0,7.0,27.5,94.23
1/3/2010 6:00,26.0,0.0,5.4,2,280.0,5.0,27.5,94.23
1/3/2010 7:00,28.0,0.0,0.0,2,0.0,4.0,45.0,84.79
1/3/2010 9:00,30.0,0.0,7.6,2,140.0,5.0,27.5,70.29
1/3/2010 10:00,32.2,0.0,7.6,2,170.0,7.0,45.0,65.7
1/3/2010 11:00,32.0,0.0,5.4,2,40.0,8.0,27.5,66.58
1/3/2010 13:00,32.3,0.0,14.8,2,100.0,10.3,45.0,55.76
1/3/2010 14:00,34.0,0.0,16.6,2,100.0,10.5,27.5,52.77
1/3/2010 15:00,33.0,0.0,14.8,2,80.0,10.5,50.0,52.52
1/3/2010 16:00,30.4,0.0,22.3,2,20.0,8.0,63.3,61.38
1/3/2010 17:00,30.0,0.0,11.2,2,20.0,8.0,27.5,62.28
1/3/2010 18:00,29.0,0.0,9.4,2,330.0,8.0,27.5,65.98
1/3/2010 19:00,28.3,0.0,7.6,2,280.0,8.0,51.6,70.4
1/3/2010 20:00,28.0,0.0,5.4,2,260.0,8.0,27.5,74.3
1/3/2010 22:00,27.2,0.0,7.6,1,270.0,8.0,100.0,83.69
1/4/2010 1:00,26.9,0.0,5.4,1,260.0,8.0,100.0,85.18
