Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity
26.7,26.7,26.7,30,0.2,5.4,10,7,75,90.69
,,,,0,,,,,
,,,,0,,,,,
26,26,26,,0,5.4,220,7,65,95.08
25.1,25.1,25.1,,0,5.4,270,3,30,100
26.1,26.1,26.1,,0,0,,2,50,94.24
26.4,26.4,26.4,,47,0,,6,100,93.13
28,28,28,32.7,0,1.8,,9,50,83.79
29,29,29,33.6,0,0,0,9,50,74.47
29.2,29.2,29.2,34.3,0,4.8,247,9,48.3,75.1
29,29,29,32.7,0,11.2,20,9,27.5,70.11
31,31,31,35.5,0,9.4,30,9,27.5,62.5
32.7,32.7,32.7,39.6,0,7.6,50,10,80,62.85
,,,,0,,,,,
25,25,25,,0,27.7,280,2,50,88.68
26,26,26,,5,1.2,,7,48.3,89.65
26,26,26,,0,5.4,210,8,27.5,88.76
25,25,25,,0,11.2,180,5,50,88.68
25.8,25.8,25.8,,3,1.2,160,6,63.3,90.17
25,25,25,,0,0,0,6,50,94.19
26,26,26,,0,7.6,330,7,27.5,88.76
26,26,26,,0.2,1.2,169,7.7,48.3,90.18
26,26,26,,0,0,0,8,27.5,94.23
,,,,0,,,,,
25.6,25.6,25.6,,0,0,,8,90,94.21
,,,,0,,,,,
,,,,0,,,,,
25.1,25.1,25.1,,0,3.6,240,10,50,95.33
,,,,0,,,,,
,,,,0,,,,,
26.7,26.7,26.7,,0,0,,3,40,92.6
,,,,0,,,,,
30,30,30,35.1,0,3.6,,8,27.5,70.29
31.9,31.9,31.9,37.9,0,3.6,240,8,35,63.57
33,33,33,36.1,0,5.4,110,9,27.5,49.4
33,33,33,38.1,0,13,70,10.5,27.5,55.81
33.3,33.3,33.3,37.9,0,12.4,57,10.3,35,52.71
32,32,32,34.9,0,22.3,60,10.5,50,52.27
31,31,31,36.5,0,20.5,20,10.5,50,66.38
31.1,31.1,31.1,36,0,14.8,20,10.3,60,63.54
30,30,30,34.1,0,11.2,40,10.5,27.5,66.18
29,29,29,32.7,0,1.8,,10.5,27.5,70.11
29.1,29.1,29.1,33.5,0,3.6,20,10.3,48.3,72.71
29,29,29,33.6,0,3.6,,10.5,27.5,74.47
,,,,0,,,,,
28.6,28.6,28.6,34.6,0,0,,7,80,83.86
,,,,0,,,,,
,,,,0,,,,,
27.3,27.3,27.3,30.9,0,3.6,270,5,45,84.88
27,27,27,30.1,0,3.6,270,4,27.5,83.68
,,,,0,,,,,
25.4,25.4,25.4,,0.8,2.4,330,5,63.3,94.02
26,26,26,,0,1.8,280,7,27.5,94.23
26,26,26,,0,5.4,280,5,27.5,94.23
28,28,28,32.9,0,0,0,4,45,84.79
,,,,0,,,,,
30,30,30,35.1,0,7.6,140,5,27.5,70.29
32.2,32.2,32.2,39.4,0,7.6,170,7,45,65.7
32,32,32,39.2,0,5.4,40,8,27.5,66.58
,,,,0,,,,,
32.3,32.3,32.3,36.6,0,14.8,100,10.3,45,55.76
34,34,34,39.4,0,16.6,100,10.5,27.5,52.77
33,33,33,37,0,14.8,80,10.5,50,52.52
30.4,30.4,30.4,34,0,22.3,20,8,63.3,61.38
30,30,30,33.3,0,11.2,20,8,27.5,62.28
29,29,29,32,0,9.4,330,8,27.5,65.98
28.3,28.3,28.3,31.3,0,7.6,280,8,51.6,70.4
28,28,28,31.3,0,5.4,260,8,27.5,74.3
,,,,0,,,,,
27.2,27.2,27.2,30.5,0,7.6,270,8,100,83.69
,,,,0,,,,,
,,,,0,,,,,
26.9,26.9,26.9,29.9,0,5.4,260,8,100,85.18
,,,,0,,,,,
,,,,0,,,,,
26.2,26.2,26.2,,0,3.6,230,7,100,89.84
,,,,0,,,,,
26,26,26,,0,5.4,280,3,27.5,88.76
28.2,28.2,28.2,32.6,0,11.2,173,4,20,79.58
29,29,29,33.6,0,7.6,260,6,0,74.47
31,31,31,35.5,0,7.6,200,8,27.5,62.5
32.1,32.1,32.1,38.4,0,11.2,270,10,80,63.86
33,33,33,38.1,0,,,10.5,50,55.81
34,34,34,39.4,0,13,330,10.5,27.5,52.77
33.3,33.3,33.3,38.9,0,11.2,290,10.3,63.3,56.21
25,25,25,,0,27.7,230,2,89,83.45
,,,,0,,,,,
26,26,26,,29,2.4,,8,63.3,90.73
27,27,27,30.6,0,5.4,110,10.5,50,88.84
26,26,26,,0,9.4,290,10.5,50,88.76
26,26,26,,0,0,0,10.3,63.3,89.12
,,,,0,,,,,
,,,,0,,,,,
26.1,26.1,26.1,,0,9.4,300,10.3,45,85.27
25,25,25,,0,3.6,250,10.5,27.5,94.19
25,25,25,,0,5.4,280,10.5,27.5,94.19
25.2,25.2,25.2,,0,0,0,10.3,35,93.64
25,25,25,,0,3.6,310,10.5,27.5,94.19
25,25,25,,0,0,0,10.5,27.5,94.19
25.1,25.1,25.1,,0,1.2,,6,45,94.2
25,25,25,,0,1.8,,6,27.5,94.19
,,,,0,,,,,
26.1,26.1,26.1,,0,3.6,270,5,48.3,92.94
28,28,28,31.3,0,5.4,210,5,27.5,74.3
30,30,30,35.1,0,7.6,220,8,27.5,70.29
30.2,30.2,30.2,35,0,10,180,9,48.3,67.84
31,31,31,35.5,0,5.4,140,10.5,27.5,62.5
32,32,32,37.9,0,11.2,60,10.5,50,62.71
32.3,32.3,32.3,37.8,0,14.8,50,10.3,38.3,60.31
32,32,32,37.9,0,14.8,20,10.5,27.5,62.71
,,,,0,,,,,
29,29,29,32.1,0,14.8,260,8,92.7,67.32
26,26,26,,0,16.6,230,8,89,73.97
25,25,25,,0,1.8,,8,89,83.45
26.4,26.4,26.4,,0.4,16.6,80,8,100,76.33
25,25,25,,0,5.4,210,8,50,83.45
25,25,25,,0,1.8,,9,50,83.45
25.1,25.1,25.1,,0,6.2,260,9,66.6,84.83
,,,,0,,,,,
24,24,24,,0,5.4,280,9,27.5,94.15
24.2,24.2,24.2,,0,0,0,9,45,93.59
,,,,0,,,,,
,,,,0,,,,,
24.2,24.2,24.2,,0,3.6,230,7,48.3,94.16
24,24,24,,0,3.6,250,6,27.5,94.15
,,,,0,,,,,
26,26,26,,0,7.6,280,3,26.6,84.74
28,28,28,30.7,0,9.4,250,5,0,69.92
,,,,0,,,,,
30.7,30.7,30.7,35.2,0,9.4,300,7,80,64.34
,,,,0,,,,,
,,,,0,,,,,
32.1,32.1,32.1,38,0,13,70,7,90,62.73
32,32,32,35.8,0,11.2,70,7,27.5,55.56
