,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t),var11(t)
1,0.3141762,0.8458904,0.6555555,0.5183175,0.008116883,0.019872556,0.63529414,0.21405752,0.5257836,0.52916205,1.0,0.3524903,0.8561644,0.5333333,0.5345998,0.0028409092,0.029916838,0.8006471,0.19488819,0.4125379,0.6375419,1.0
2,0.3524903,0.8561644,0.5333333,0.5345998,0.0028409092,0.029916838,0.8006471,0.19488819,0.4125379,0.6375419,1.0,0.19923377,0.7910959,0.23333311,0.44640437,0.0,0.024084672,0.8617647,0.13738021,0.40040442,0.8440223,0.4
3,0.19923377,0.7910959,0.23333311,0.44640437,0.0,0.024084672,0.8617647,0.13738021,0.40040442,0.8440223,0.4,0.2758621,0.9280822,0.6888888,0.49796474,0.0,0.015984448,0.29085293,0.25239617,0.29221433,0.47575426,0.4
4,0.2758621,0.9280822,0.6888888,0.49796474,0.0,0.015984448,0.29085293,0.25239617,0.29221433,0.47575426,0.4,0.3141762,0.80136985,0.511111,0.52103126,0.016761364,0.012096338,0.38602942,0.1884984,0.43680483,0.67977643,1.0
5,0.3141762,0.80136985,0.511111,0.52103126,0.016761364,0.012096338,0.38602942,0.1884984,0.43680483,0.67977643,1.0,0.3524903,0.869863,0.5666666,0.54138404,0.03206169,0.024084672,0.68067646,0.17891376,0.46814963,0.64402235,1.0
6,0.3524903,0.869863,0.5666666,0.54138404,0.03206169,0.024084672,0.68067646,0.17891376,0.46814963,0.64402235,1.0,0.3639847,0.7910959,0.39999986,0.5359566,0.3356331,0.014040393,0.82026476,0.14696486,0.6390293,0.7680446,1.0
7,0.3639847,0.7910959,0.39999986,0.5359566,0.3356331,0.014040393,0.82026476,0.14696486,0.6390293,0.7680446,1.0,0.11494255,0.8082192,0.15555549,0.38941658,0.047483765,0.019764552,0.8315,0.12779553,0.7876643,0.92245793,0.8
8,0.11494255,0.8082192,0.15555549,0.38941658,0.047483765,0.019764552,0.8315,0.12779553,0.7876643,0.92245793,0.8,0.29501915,0.8082192,0.42222214,0.52103126,0.3409091,0.014040393,0.9485294,0.17891376,0.6673407,0.7401116,1.0
9,0.29501915,0.8082192,0.42222214,0.52103126,0.3409091,0.014040393,0.9485294,0.17891376,0.6673407,0.7401116,1.0,0.20306516,0.70890415,0.18888879,0.45454547,0.2362013,0.023652662,0.62744117,0.14696486,0.8402426,0.84871495,0.8
10,0.20306516,0.70890415,0.18888879,0.45454547,0.2362013,0.023652662,0.62744117,0.14696486,0.8402426,0.84871495,0.8,0.22988498,0.8287671,0.32222223,0.47761196,0.0040584416,0.015984448,0.8235294,0.1629393,0.7259858,0.8187709,1.0
11,0.22988498,0.8287671,0.32222223,0.47761196,0.0040584416,0.015984448,0.8235294,0.1629393,0.7259858,0.8187709,1.0,0.23754787,0.7910959,0.2555554,0.47761196,0.07183442,0.014040393,0.62744117,0.16932909,0.5338726,0.839553,1.0
12,0.23754787,0.7910959,0.2555554,0.47761196,0.07183442,0.014040393,0.62744117,0.16932909,0.5338726,0.839553,1.0,0.3141762,0.7773973,0.47777772,0.49932158,0.028003247,0.015984448,0.8221765,0.21405752,0.4772497,0.55508375,1.0
13,0.3141762,0.7773973,0.47777772,0.49932158,0.028003247,0.015984448,0.8221765,0.21405752,0.4772497,0.55508375,1.0,0.3524903,0.8253425,0.6555555,0.5033921,0.0,0.017928502,0.8088235,0.22044729,0.413549,0.4750837,0.4
14,0.3524903,0.8253425,0.6555555,0.5033921,0.0,0.017928502,0.8088235,0.22044729,0.413549,0.4750837,0.4,0.3141762,0.7773973,0.47777772,0.5006785,0.08116883,0.015984448,0.68182355,0.21086265,0.4661274,0.6507261,1.0
15,0.3141762,0.7773973,0.47777772,0.5006785,0.08116883,0.015984448,0.68182355,0.21086265,0.4661274,0.6507261,1.0,0.3180077,0.8356164,0.5333333,0.51560384,0.06452922,0.019872556,0.4154412,0.20127799,0.55712837,0.6181004,1.0
16,0.3180077,0.8356164,0.5333333,0.51560384,0.06452922,0.019872556,0.4154412,0.20127799,0.55712837,0.6181004,1.0,0.3141762,0.7431507,0.36666656,0.5006785,0.24228896,0.019872556,0.7700589,0.15974441,0.57431746,0.75374293,1.0
17,0.3141762,0.7431507,0.36666656,0.5006785,0.24228896,0.019872556,0.7700589,0.15974441,0.57431746,0.75374293,1.0,0.20306516,0.8253425,0.26666665,0.45725918,0.17857143,0.014040393,0.5490294,0.13738021,0.55510616,0.89966464,1.0
18,0.20306516,0.8253425,0.26666665,0.45725918,0.17857143,0.014040393,0.5490294,0.13738021,0.55510616,0.89966464,1.0,0.23754787,0.6746576,0.24444437,0.46540028,0.03693182,0.015984448,0.8088235,0.17891376,0.53185034,0.7915083,1.0
19,0.23754787,0.6746576,0.24444437,0.46540028,0.03693182,0.015984448,0.8088235,0.17891376,0.53185034,0.7915083,1.0,0.2758621,0.75684935,0.41111112,0.49118048,0.054788962,0.019872556,0.8116177,0.19808306,0.6006066,0.6770948,1.0
20,0.2758621,0.75684935,0.41111112,0.49118048,0.054788962,0.019872556,0.8116177,0.19808306,0.6006066,0.6770948,1.0,0.2758621,0.8253425,0.47777772,0.48303935,0.008116883,0.027972782,0.87058824,0.22364219,0.46814963,0.62145245,1.0
21,0.2758621,0.8253425,0.47777772,0.48303935,0.008116883,0.027972782,0.87058824,0.22364219,0.46814963,0.62145245,1.0,0.3141762,0.8356164,0.46666646,0.48710993,0.0,0.042013176,0.8109412,0.21405752,0.5783619,0.568715,0.4
22,0.3141762,0.8356164,0.46666646,0.48710993,0.0,0.042013176,0.8109412,0.21405752,0.5783619,0.568715,0.4,0.2758621,0.84246576,0.4333334,0.48303935,0.10511363,0.029916838,0.8235294,0.16932909,0.6076845,0.6601118,1.0
23,0.2758621,0.84246576,0.4333334,0.48303935,0.10511363,0.029916838,0.8235294,0.16932909,0.6076845,0.6601118,1.0,0.19923377,0.7226027,0.32222223,0.45725918,0.034496754,0.03186089,0.8003824,0.19488819,0.57229525,0.72536314,1.0
24,0.19923377,0.7226027,0.32222223,0.45725918,0.034496754,0.03186089,0.8003824,0.19488819,0.57229525,0.72536314,1.0,0.23754787,0.8184931,0.4333334,0.46540028,0.019074675,0.039421104,0.77623534,0.16932909,0.7189079,0.7150837,1.0
25,0.23754787,0.8184931,0.4333334,0.46540028,0.019074675,0.039421104,0.77623534,0.16932909,0.7189079,0.7150837,1.0,0.20306516,0.8253425,0.33333325,0.46675715,0.020292208,0.019872556,0.8333235,0.1884984,0.68655205,0.7604469,1.0
26,0.20306516,0.8253425,0.33333325,0.46675715,0.020292208,0.019872556,0.8333235,0.1884984,0.68655205,0.7604469,1.0,0.24137938,0.8253425,0.3777778,0.46540028,0.05275974,0.027972782,0.7261177,0.17252396,0.60161775,0.6835753,1.0
27,0.24137938,0.8253425,0.3777778,0.46540028,0.05275974,0.027972782,0.7261177,0.17252396,0.60161775,0.6835753,1.0,0.2758621,0.81164384,0.38888884,0.49796474,0.025974026,0.029916838,0.86029416,0.20447285,0.6723963,0.7316201,1.0
28,0.2758621,0.81164384,0.38888884,0.49796474,0.025974026,0.029916838,0.86029416,0.20447285,0.6723963,0.7316201,1.0,0.3141762,0.8253425,0.41111112,0.51560384,0.0,0.019872556,0.4764706,0.15015975,0.3862487,0.77698314,0.4
29,0.3141762,0.8253425,0.41111112,0.51560384,0.0,0.019872556,0.4764706,0.15015975,0.3862487,0.77698314,0.4,0.2758621,0.70890415,0.24444437,0.49796474,0.13676949,0.049141373,0.76735294,0.1629393,0.5035389,0.79821205,1.0
30,0.2758621,0.70890415,0.24444437,0.49796474,0.13676949,0.049141373,0.76735294,0.1629393,0.5035389,0.79821205,1.0,0.29885054,0.7910959,0.36666656,0.49796474,0.114853896,0.019872556,0.78052944,0.18530352,0.6177957,0.694525,1.0
31,0.29885054,0.7910959,0.36666656,0.49796474,0.114853896,0.019872556,0.78052944,0.18530352,0.6177957,0.694525,1.0,0.23754787,0.75,0.31111097,0.46540028,0.09902597,0.024084672,0.5195294,0.17891376,0.55712837,0.7597765,1.0
32,0.23754787,0.75,0.31111097,0.46540028,0.09902597,0.024084672,0.5195294,0.17891376,0.55712837,0.7597765,1.0,0.3141762,0.8253425,0.3777778,0.5006785,0.0,0.02970083,0.7975882,0.20766775,0.595551,0.6835753,0.4
33,0.3141762,0.8253425,0.3777778,0.5006785,0.0,0.02970083,0.7975882,0.20766775,0.595551,0.6835753,0.4,0.24904215,0.8561644,0.44444442,0.47489825,0.0,0.029916838,0.84244114,0.19169329,0.7098079,0.64022326,0.4
34,0.24904215,0.8561644,0.44444442,0.47489825,0.0,0.029916838,0.84244114,0.19169329,0.7098079,0.64022326,0.4,0.24137938,0.75342464,0.42222214,0.46540028,0.0150162345,0.024084672,0.7983235,0.21086265,0.70273,0.6201117,1.0
35,0.24137938,0.75342464,0.42222214,0.46540028,0.0150162345,0.024084672,0.7983235,0.21086265,0.70273,0.6201117,1.0,0.3141762,0.760274,0.47777772,0.49796474,0.08887987,0.019872556,0.64038235,0.19808306,0.5854398,0.61877084,1.0
36,0.3141762,0.760274,0.47777772,0.49796474,0.08887987,0.019872556,0.64038235,0.19808306,0.5854398,0.61877084,1.0,0.3141762,0.75,0.41111112,0.51560384,0.023133116,0.019872556,0.5668529,0.19808306,0.5631951,0.7068156,1.0
37,0.3141762,0.75,0.41111112,0.51560384,0.023133116,0.019872556,0.5668529,0.19808306,0.5631951,0.7068156,1.0,0.19923377,0.760274,0.2777779,0.45725918,0.028206168,0.019872556,0.7550294,0.1341853,0.6632962,0.8116201,1.0
38,0.19923377,0.760274,0.2777779,0.45725918,0.028206168,0.019872556,0.7550294,0.1341853,0.6632962,0.8116201,1.0,0.22222221,0.7910959,0.2555554,0.4708277,0.24756494,0.024084672,0.8552059,0.14696486,0.6703741,0.84938526,1.0
39,0.22222221,0.7910959,0.2555554,0.4708277,0.24756494,0.024084672,0.8552059,0.14696486,0.6703741,0.84938526,1.0,0.23754787,0.70547944,0.24444437,0.4708277,0.2516234,0.024084672,0.84470594,0.1341853,0.6744186,0.8118434,1.0
40,0.23754787,0.70547944,0.24444437,0.4708277,0.2516234,0.024084672,0.84470594,0.1341853,0.6744186,0.8118434,1.0,0.22988498,0.8253425,0.3777778,0.46540028,0.0,0.027972782,0.85,0.20127799,0.5389282,0.6757541,0.4
41,0.22988498,0.8253425,0.3777778,0.46540028,0.0,0.027972782,0.85,0.20127799,0.5389282,0.6757541,0.4,0.3141762,0.760274,0.52222204,0.5020353,0.0028409092,0.019872556,0.82429415,0.24600638,0.45096055,0.5506145,1.0
42,0.3141762,0.760274,0.52222204,0.5020353,0.0028409092,0.019872556,0.82429415,0.24600638,0.45096055,0.5506145,1.0,0.3141762,0.8082192,0.5777776,0.51560384,0.047483765,0.024084672,0.76144123,0.16932909,0.7128412,0.5669272,1.0
43,0.3141762,0.8082192,0.5777776,0.51560384,0.047483765,0.024084672,0.76144123,0.16932909,0.7128412,0.5669272,1.0,0.29885054,0.8253425,0.48888898,0.514247,0.090097405,0.012096338,0.790853,0.1661342,0.5763397,0.6795529,1.0
44,0.29885054,0.8253425,0.48888898,0.514247,0.090097405,0.012096338,0.790853,0.1661342,0.5763397,0.6795529,1.0,0.27969348,0.8253425,0.41111112,0.49796474,0.0487013,0.024084672,0.80808824,0.09584665,0.47927198,0.7432401,1.0
45,0.27969348,0.8253425,0.41111112,0.49796474,0.0487013,0.024084672,0.80808824,0.09584665,0.47927198,0.7432401,1.0,0.23754787,0.7260274,0.38888884,0.48303935,0.012175325,0.011772329,0.46217647,0.12779553,0.43276036,0.75709486,1.0
46,0.23754787,0.7260274,0.38888884,0.48303935,0.012175325,0.011772329,0.46217647,0.12779553,0.43276036,0.75709486,1.0,0.3524903,0.729452,0.46666646,0.5345998,0.016233766,0.019872556,0.84197056,0.17571886,0.46814963,0.69027925,1.0
47,0.3524903,0.729452,0.46666646,0.5345998,0.016233766,0.019872556,0.84197056,0.17571886,0.46814963,0.69027925,1.0,0.3180077,0.760274,0.46666646,0.50746274,0.051136367,0.024084672,0.8014706,0.20127799,0.5429727,0.72089374,1.0
48,0.3180077,0.760274,0.46666646,0.50746274,0.051136367,0.024084672,0.8014706,0.20127799,0.5429727,0.72089374,1.0,0.23754787,0.7671233,0.3777778,0.49253732,0.040584415,0.029916838,0.7326765,0.11501598,0.60970676,0.7655864,1.0
49,0.23754787,0.7671233,0.3777778,0.49253732,0.040584415,0.029916838,0.7326765,0.11501598,0.60970676,0.7655864,1.0,0.3524903,0.7260274,0.5555556,0.5183175,0.020698052,0.019872556,0.85882354,0.21725242,0.4499494,0.53206694,1.0
50,0.3524903,0.7260274,0.5555556,0.5183175,0.020698052,0.019872556,0.85882354,0.21725242,0.4499494,0.53206694,1.0,0.3180077,0.8561644,0.48888898,0.5020353,0.0,0.029916838,0.8622353,0.2555911,0.44590494,0.6004468,0.4
51,0.3180077,0.8561644,0.48888898,0.5020353,0.0,0.029916838,0.8622353,0.2555911,0.44590494,0.6004468,0.4,0.2758621,0.8458904,0.5333333,0.6037992,0.0,0.026028728,0.90755886,0.22364219,0.57128406,0.61117315,0.4
52,0.2758621,0.8458904,0.5333333,0.6037992,0.0,0.026028728,0.90755886,0.22364219,0.57128406,0.61117315,0.4,0.2758621,0.8561644,0.5,0.514247,0.0028409092,0.029484825,0.92773527,0.17252396,0.48938322,0.6889384,1.0
53,0.2758621,0.8561644,0.5,0.514247,0.0028409092,0.029484825,0.92773527,0.17252396,0.48938322,0.6889384,1.0,0.3256706,0.7191781,0.44444442,0.53188604,0.059496753,0.019872556,0.44214708,0.15654953,0.5237614,0.66793287,1.0
